Device: cuda
Loaded 46588 samples from cache
Channel weights: user=1.0, assistant=1.2
Normalization: l2
Embeddings shape: (46588, 9216)
Embedding dimension: 9216
Model parameters: 9,879,681

=== PHASE 1: PROBE (5 epochs) ===
Epoch 230/1000 — loss: 0.0016, val MAE: 0.0168
Epoch 231/1000 — loss: 0.0019, val MAE: 0.0172
Epoch 232/1000 — loss: 0.0019, val MAE: 0.0173
Epoch 233/1000 — loss: 0.0017, val MAE: 0.0154
Epoch 234/1000 — loss: 0.0016, val MAE: 0.0202
Epoch 235/1000 — loss: 0.0022, val MAE: 0.0293
Epoch 236/1000 — loss: 0.0018, val MAE: 0.0168
Epoch 237/1000 — loss: 0.0016, val MAE: 0.0160
Epoch 238/1000 — loss: 0.0017, val MAE: 0.0154
Epoch 239/1000 — loss: 0.0017, val MAE: 0.0146
Epoch 240/1000 — loss: 0.0018, val MAE: 0.0199
Epoch 241/1000 — loss: 0.0017, val MAE: 0.0145
Epoch 242/1000 — loss: 0.0017, val MAE: 0.0159
Epoch 243/1000 — loss: 0.0020, val MAE: 0.0177
Epoch 244/1000 — loss: 0.0019, val MAE: 0.0162
Epoch 245/1000 — loss: 0.0016, val MAE: 0.0183
Epoch 246/1000 — loss: 0.0015, val MAE: 0.0152
Epoch 247/1000 — loss: 0.0017, val MAE: 0.0182
Epoch 248/1000 — loss: 0.0017, val MAE: 0.0150
Epoch 249/1000 — loss: 0.0018, val MAE: 0.0165
Epoch 250/1000 — loss: 0.0016, val MAE: 0.0161
Epoch 251/1000 — loss: 0.0016, val MAE: 0.0278
Epoch 252/1000 — loss: 0.0020, val MAE: 0.0156
Epoch 253/1000 — loss: 0.0016, val MAE: 0.0158
Epoch 254/1000 — loss: 0.0016, val MAE: 0.0153
Epoch 255/1000 — loss: 0.0015, val MAE: 0.0147
Epoch 256/1000 — loss: 0.0020, val MAE: 0.0192
Epoch 257/1000 — loss: 0.0017, val MAE: 0.0156
Epoch 258/1000 — loss: 0.0017, val MAE: 0.0169
Epoch 259/1000 — loss: 0.0019, val MAE: 0.0186
Epoch 260/1000 — loss: 0.0017, val MAE: 0.0155
Epoch 261/1000 — loss: 0.0017, val MAE: 0.0153
Epoch 262/1000 — loss: 0.0015, val MAE: 0.0153
Epoch 263/1000 — loss: 0.0015, val MAE: 0.0139
Epoch 264/1000 — loss: 0.0016, val MAE: 0.0152
Epoch 265/1000 — loss: 0.0015, val MAE: 0.0144
Epoch 266/1000 — loss: 0.0015, val MAE: 0.0170
Epoch 267/1000 — loss: 0.0016, val MAE: 0.0144
Epoch 268/1000 — loss: 0.0014, val MAE: 0.0149
Epoch 269/1000 — loss: 0.0016, val MAE: 0.0167
Epoch 270/1000 — loss: 0.0019, val MAE: 0.0182
Epoch 271/1000 — loss: 0.0016, val MAE: 0.0158
Epoch 272/1000 — loss: 0.0024, val MAE: 0.0257
Epoch 273/1000 — loss: 0.0020, val MAE: 0.0161
Epoch 274/1000 — loss: 0.0014, val MAE: 0.0156
Epoch 275/1000 — loss: 0.0015, val MAE: 0.0151
Epoch 276/1000 — loss: 0.0016, val MAE: 0.0196
Epoch 277/1000 — loss: 0.0019, val MAE: 0.0168
Epoch 278/1000 — loss: 0.0016, val MAE: 0.0138
Epoch 279/1000 — loss: 0.0014, val MAE: 0.0147
Epoch 280/1000 — loss: 0.0016, val MAE: 0.0149
Epoch 281/1000 — loss: 0.0015, val MAE: 0.0147
Epoch 282/1000 — loss: 0.0015, val MAE: 0.0143
Epoch 283/1000 — loss: 0.0015, val MAE: 0.0150
Epoch 284/1000 — loss: 0.0027, val MAE: 0.0312
